id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,송골매 2집,https://i.namu.wiki/i/lEsjQJNS9tfcIKEyW8ljiolcj1KpTUqZIrFwJszbbl8QQB6ynp0ER9mLRA9IQ9wShBS37m2-RP7V5SYKeXN_w7z-4ohC14resYh_wMXzkS1lj2TATVUvjgcQW1mBAZs7xOk0U0902MdpYM1XDHH3Zw.webp,국내/가요,1982,대한민국,,송골매,"어쩌다 마주친 그대
우리들
그대는 나는
다시 한번
세상만사","하다 못해 이 가슴을
모두 다 사랑하리
빨리 빨리
내 마음의 꽃
길지 않는 시간이었네
바람",,,,,,,,,,,,,,,,,,
,송창식 9집 - 사랑이야/토함산,https://i.namu.wiki/i/U62-JPZ4JcINGZX4TEmwAjXJPm6pZowlavfn5o_cxjJAiuBL7wNeJMUXc54RX3YHINM5j6twxa1yRSfOJSfvrzDMyB3MRwp1RHbu0VDiJc6f1XVqE8Xai7SJeVq-PLvI1Vt4rVTOyH_HcfVlGDedqw.webp,국내/가요,1978,대한민국,,송창식,"사랑이야
돌돌이와 석순이
20년전쯤에
토함산
병사의 향수","나의 키타이야기
별똥별
그사람
잊읍니다
그사람(경음악)",,,,,,,,,,,,,,,,,,
,시나위 1집 - Heavy Metal Sinawe,https://i.namu.wiki/i/wlWCs2-xSatUzS9HteYc-8Ugb2FdmGxTVjVNalu22ZBMNkqUc0qcKGUUpD02Ekl8V4mELB4XXZnqw7_xwhHb-SFX_kHN9uhd0BUaT4PE66TfPjmkKfKXLethxojlA-jhHL4A-NOaTCr4YtvLS31DiQ.webp,국내/가요,1986,대한민국,,시나위,"크게 라디오를 켜고
그대앞에 난 촛불이여라
남사당패
젊음의 록큰롤","잃어버린 환상
아틸란티스의 꿈
1월
하루해 마냥 떠가고",,,,,,,,,,,,,,,,,,
,시나위 4집 - Four,https://i.namu.wiki/i/gjAakCZSlnsY1L5fEJFHb7Vcs5UvtYB-BuBysXS8FhRb7DxMZ5WikDIPC3fzST8LiU3MYWz0OANDw-4VxFj54Qt2AyKXKDEXQwWYYXoIIZI0hQIumVEgoQWWcr0Bvv1R8NUbjJ9amSbkmH3ToEfrJg.webp,국내/가요,1990,,,시나위,"1990
Set My Fire
Farewell To Love
겨울비
In Your Brown Eyes","내마음속의 여행
Play That Wild Rock' n' Roll
Metalizer
Bolero
황무지",,,,,,,,,,,,,,,,,,
,시나위 2집 - Down and Up,https://i.namu.wiki/i/rYv7BoSTMkq7c1GIh45c440jmG5rFESqjr66eGG4x6PRu2giUg25tuB8YbFAg7mLea3M03CdBFIzQaOGyghL7qqYbljDD2hrjQGenBMe8XzDdSO5tvSn3tgMlOu27GzRqZY7W8Bma7gHtbx_0NCdWQ.webp,국내/가요,1986,대한민국,,시나위,"새가 되어 가리
해 저문 길에서
마음의 춤
진실한 모습
아! 대한민국","시나위
연착
들리는 노래
빈 하늘
밤 하늘엔 무엇이",,,,,,,,,,,,,,,,,,
,시인과 촌장 3집 - 숲,https://i.namu.wiki/i/b9wDsY1ZUU8dQj5xFEEigjTl4E8X-6QEsBPv8iA59ClesEDAqCUZZIFRhanCChr81sL_6z0-ZenySzeEJG-UvYIJxMrW5n4EXnv892str6kGRiu1X9Vo4aMZiG_5-hsIyuZrR1xTWHOg9k5xz784eA.webp,국내/가요,1988,대한민국,,시인과 촌장,"가시나무
새벽
새털구름
나무
새날","때
새 봄나라에서 살던 시원한 바람
좋은 나라
푸른 애벌레의 꿈
숲
",,,,,,,,,,,,,,,,,,
,시인과 촌장 3집 - 숲,https://i.namu.wiki/i/tsBnMDH3435Gd8vakom-fCw_kmJNnMyXSdKn_zUevoHQ-4bRY5yGrsQz4tkIfOtOFiqRwieea0f3jkzlzz_MMD31ca46yggvdT2QAaqtHWM80zGqlYRO5ABPS2mHjXGyx4ADyPfO9I15549HSelgnQ.webp,국내/가요,1986,대한민국,,시인과 촌장,"푸른 돛
비둘기에게
고양이
진달래
얼음 무지개","사랑일기
떠나가지마 비둘기
매
풍경
비둘기 안녕
고향의 봄
",,,,,,,,,,,,,,,,,,
,신승훈 1집 - 미소 속에 비친 그대,https://i.namu.wiki/i/o3pR5_sVOi0E1kiYP7pFBm7ZAT8ihGffZ5cnZnKMgqYlpY02kzwCus1m2yAGvUEoqMhbLLTLxX2xWUNm0e04kyKQyeSCgNPrpk8jQCTrcNc7zKj0g9Q2IGH7lL9hriY4Y3omHEn6_EZlRwEFokNuPw.webp,국내/가요,1990,대한민국,,신승훈,"미소 속에 비친 그대
두번째의 사랑
날 울리지마
오늘같이 이런 창밖이 좋아
그댈 사랑해","돌아봐줘
그대의 마음은
그리워라
그대여 안녕
미소 속에 비친 그대(경음악)",,,,,,,,,,,,,,,,,,
,신중현과 엽전들 1집,https://i.namu.wiki/i/RDBHi-Sf_gPY1XP0Ykqy9qFWM_UsryqvMolCbnA4ph5c3UfrmACHSupL07mGhpWKaGkyAlPTs5Q6B1poadckharWzs-zIO1PCmxZZIvWMkHPoRDN9l8Lm6WVUsFWS0OmMDKKrKrrpp6GVuEg3_0AJg.webp,국내/가요,1974,대한민국,,신중현과 엽전들,"미인
생각해
그 누가 있었나봐
긴긴밤
나는 너를 사랑해","저 여인
설레임
할말도 없지만
나는 몰라
떠오르는 태양",,,,,,,,,,,,,,,,,,
,신촌 블루스 1집 - 신촌 Blues,https://i.namu.wiki/i/sujwL05maCOxsXs5cgspfmOVnVx4mlIRMrXO4SWYJJhpso10m70Bga_oNKd1zEnR1pHyHkUZe93sxCzFTM_O0pggp6VHK7OjBPOzjSG8s4hXf3xsnXwYboMnFt5tvWaOHUvRmB1CGm1xM01trNIPIQ.webp,국내/가요,1988,대한민국,,신촌 블루스,"그대 없는 거리
오늘 같은 밤
나그네의 옛 이야기
한밤중에
Overnight Blues(경음악)","아쉬움
봄비
바닷가에 선들
바람인가",,,,,,2장,,,,,,,,,,,,
